CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10071,72260752,38.88108,-84.62538,008-I-0075-000,0,0,1,0,0,0,0,68.66,No,No,0,0,0,0,1,0,0,0,0,0,0
10072,72260777,38.17887,-85.17469,106-I-0064-000,0,1,0,1,1,0,0,59.88,No,No,0,0,0,1,0,0,0,0,0,1,0
10073,72260779,36.71865,-84.15954,118-I-0075-010,0,1,0,0,0,1,0,70.21,No,No,0,0,0,0,0,0,1,0,0,1,0
10074,72260780,36.85705,-84.15265,118-I-0075-010,0,1,1,1,1,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,0,0
10075,72260782,39.05385,-84.54658,059-I-0075-010,0,0,1,0,1,0,1,31.09,No,No,0,0,0,0,0,0,0,1,0,1,0
10076,72260808,38.25292,-85.74483,056-I-0065-010,0,0,0,1,1,0,,,Yes,,0,0,0,0,0,0,0,0,0,0,0
10079,72260842,36.99206,-88.42974,079-I-0024-000,0,0,1,1,1,0,0,65.52,No,No,0,0,0,1,0,0,0,1,0,0,0
10080,72260867,38.19861,-85.73408,056-I-0065-010,1,1,1,1,1,1,1,35.08,No,No,0,0,0,1,0,0,0,0,0,0,0
10081,72260868,38.14501,-85.55271,056-I-0265-000,0,1,1,1,1,1,0,50.05,No,No,0,0,0,1,0,0,0,0,0,1,0
10082,72260880,38.19241,-85.71261,056-I-0264-000,0,0,0,1,1,1,1,44.21,No,No,0,0,0,0,0,0,1,0,0,0,1
10083,72260887,39.03029,-84.58104,059-I-0275-010,1,1,0,0,0,0,0,65.24,No,No,0,0,0,0,0,0,1,0,0,0,0
10084,72260889,37.98269,-85.69974,015-I-0065-000,0,0,0,1,1,0,0,63.64,No,No,0,0,0,1,0,0,0,0,0,1,0
10085,72260917,38.18464,-85.21847,106-I-0064-000,0,0,1,1,1,0,0,64.98,No,No,0,0,0,0,0,0,0,0,0,0,0
10086,72260988,36.68531,-86.53978,107-I-0065-010,0,1,1,0,0,1,0,69.06,No,No,0,0,0,0,0,0,1,0,0,0,0
10087,72260989,36.65048,-87.35649,024-I-0024-010,0,0,0,0,0,0,1,5.97,No,No,0,1,0,0,0,1,1,0,0,0,0
10088,72260990,36.651,-87.35765,024-I-0024-010,0,0,0,0,0,0,1,17.54,No,No,0,1,0,0,0,1,0,0,0,0,0
10090,72261026,37.87588,-84.33334,076-I-0075-010,0,0,0,0,1,0,0,65.02,No,No,0,0,0,0,0,0,0,0,0,0,0
10091,72261049,38.84758,-84.66795,008-I-0071-010,0,1,0,0,0,1,1,35.22,No,No,0,0,0,0,0,0,0,0,0,1,0
10092,72261053,39.03083,-84.58247,059-I-0275-010,1,0,0,0,0,1,0,57.78,No,No,0,0,0,0,0,0,0,0,0,1,0
10093,72261057,38.08341,-84.46155,034-I-0075-010,0,0,0,0,0,1,0,66.45,No,No,0,0,0,0,0,0,0,0,0,0,0
10094,72261128,38.28235,-85.50032,056-I-0265-000,1,0,1,0,0,1,0,65.24,No,No,0,0,0,0,0,0,0,0,0,0,0
10095,72261139,38.25087,-85.75014,056-I-0065-000,0,0,0,0,0,0,0,49.71,No,No,0,0,0,0,0,0,1,0,0,0,0
10097,72261196,38.16465,-84.84296,037-I-0064-000,0,1,0,0,0,0,0,60.46,No,No,0,0,0,0,0,0,0,0,0,1,0
10099,72261220,38.88835,-84.62622,008-I-0075-010,0,0,0,0,0,0,0,70.11,No,No,0,0,0,0,0,0,0,0,0,1,0
10100,72261222,38.21709,-85.40723,106-I-0064-000,0,0,1,0,0,1,0,61.75,No,No,0,0,0,0,1,0,0,0,0,0,0
10101,72261239,38.23692,-85.50414,056-I-0265-000,0,0,1,0,0,0,0,64.17,No,No,0,0,1,0,0,0,0,0,0,0,0
10103,72261267,38.00263,-85.70235,015-I-0065-010,0,1,1,1,1,0,0,63.18,No,No,0,0,0,0,0,0,0,0,0,0,0
10105,72261274,39.07692,-84.52012,059-I-0075-010,0,1,1,0,0,0,0,54.43,No,No,0,0,0,0,1,0,0,0,0,0,0
10107,72261301,39.02257,-84.49489,059-I-0275-010,0,0,0,0,0,0,0,62.14,No,No,0,0,0,0,1,0,0,0,0,0,0
10109,72261312,37.34207,-87.48057,054-I-0069-010,1,0,1,0,0,1,0,70.21,No,No,0,0,1,0,0,0,0,0,0,0,0
10110,72261336,37.02436,-88.28756,079-I-0024-000,0,0,0,0,0,0,1,42.86,No,No,0,1,0,0,0,0,1,0,1,0,0
10111,72261373,36.87916,-86.44542,114-I-0065-000,0,0,0,0,0,0,0,69.38,No,No,0,0,0,0,0,0,0,0,0,0,0
10113,72261428,36.98542,-84.10941,063-I-0075-000,0,0,0,0,1,1,0,70.15,No,No,0,0,0,0,0,0,0,0,0,0,0
10114,72261432,39.03958,-84.58845,059-I-0075-000,0,0,1,0,0,0,1,14.19,No,No,0,0,0,0,0,0,1,0,0,0,0
10115,72261433,38.11059,-85.67642,056-I-0265-010,1,0,0,0,0,1,0,50.49,No,No,0,0,0,0,0,0,0,0,0,1,0
10116,72261434,38.19134,-85.71634,056-I-0264-010,1,1,0,0,0,1,0,53.79,No,No,0,0,0,0,0,0,0,0,0,1,0
10117,72261438,39.0224,-84.49918,059-I-0275-010,0,0,0,0,0,0,0,65.24,No,No,0,0,1,0,0,0,0,0,0,0,0
10118,72261441,39.02162,-84.61726,008-I-0075-010,0,0,0,0,0,0,0,59.9,No,No,0,0,0,0,0,0,0,0,0,0,0
10119,72261452,38.19012,-85.75664,056-I-0264-000,0,1,0,0,0,0,1,42.83,No,No,0,0,0,0,0,0,1,0,0,1,0
10120,72261457,38.36462,-82.78869,022-I-0064-000,0,0,0,0,0,1,0,53.97,No,No,0,0,0,0,0,1,1,0,0,0,1
10121,72261532,38.22376,-85.5398,056-I-0064-000,0,0,0,0,0,1,0,63.88,No,No,0,0,0,0,0,0,0,0,0,0,0
10122,72261533,39.08882,-84.52268,059-I-0075-000,0,0,0,0,0,0,,,Yes,,0,0,0,0,0,0,0,0,0,0,0
10123,72261557,38.2228,-85.51101,056-I-0064-000,0,1,0,0,0,1,0,63.37,No,No,0,0,0,0,0,0,1,0,0,0,0
10124,72261573,38.2722,-85.80844,056-I-0264-010,0,0,0,0,0,0,1,36.23,No,No,0,0,0,0,0,0,1,1,0,0,0
